epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.72911,1.02237,2.70999,1.1511,0.54897,0.14888,0.31781,0.24418,0.91345,2.64346,0.99187,0.00040012,0.00040012,0.00040012
2,14.4223,0.88004,1.65141,1.02076,0.531,0.50438,0.53478,0.41264,0.83749,1.88216,0.9473,0.000798402,0.000798402,0.000798402
3,21.4445,0.84099,1.48155,1.00096,0.51898,0.58452,0.57357,0.45512,0.8379,1.4815,0.98726,0.00118027,0.00118027,0.00118027
4,28.3137,0.83874,1.37063,0.99557,0.58642,0.56229,0.59768,0.47446,0.85877,1.48357,1.0216,0.00134412,0.00134412,0.00134412
5,35.1546,0.8024,1.27046,0.99031,0.54051,0.64088,0.63221,0.51745,0.78356,1.44144,0.98126,0.00131582,0.00131582,0.00131582
6,41.7186,0.77918,1.17992,0.97518,0.71123,0.69468,0.75085,0.60575,0.75755,1.08556,0.95069,0.00128753,0.00128753,0.00128753
7,48.3675,0.75018,1.13792,0.95814,0.74172,0.71078,0.79199,0.66215,0.69578,1.02997,0.93218,0.00125923,0.00125923,0.00125923
8,55.2683,0.75419,1.0836,0.96213,0.77377,0.74448,0.84799,0.69771,0.6998,0.99348,0.92439,0.00123094,0.00123094,0.00123094
9,61.8304,0.74882,1.04019,0.95787,0.87502,0.70513,0.84668,0.70998,0.67132,0.89543,0.92116,0.00120265,0.00120265,0.00120265
10,68.4432,0.72986,1.01046,0.95735,0.80852,0.72013,0.8377,0.70168,0.67473,0.91217,0.92123,0.00117435,0.00117435,0.00117435
11,74.9535,0.72183,0.93705,0.9461,0.79392,0.76776,0.84906,0.70731,0.66316,0.84611,0.91746,0.00114606,0.00114606,0.00114606
12,81.4649,0.69078,0.93783,0.9323,0.80212,0.75669,0.85331,0.71634,0.67092,0.85422,0.92248,0.00111776,0.00111776,0.00111776
13,88.134,0.68381,0.87509,0.93152,0.78652,0.80693,0.87399,0.73663,0.67112,0.78069,0.92031,0.00108947,0.00108947,0.00108947
14,94.7122,0.66948,0.87815,0.92542,0.76865,0.77603,0.84841,0.7173,0.64807,0.82613,0.91488,0.00106118,0.00106118,0.00106118
15,101.188,0.65895,0.88407,0.92744,0.82962,0.78618,0.87554,0.74286,0.65442,0.74858,0.9099,0.00103288,0.00103288,0.00103288
16,107.73,0.67023,0.83576,0.93236,0.81724,0.78669,0.87196,0.73486,0.66309,0.74224,0.91917,0.00100459,0.00100459,0.00100459
17,114.312,0.65301,0.84104,0.93756,0.7598,0.78296,0.84285,0.71949,0.64115,0.77159,0.90817,0.000976293,0.000976293,0.000976293
18,120.892,0.66067,0.81659,0.92614,0.77073,0.80186,0.85336,0.72089,0.66385,0.78459,0.91485,0.000947999,0.000947999,0.000947999
19,127.424,0.65248,0.81835,0.92597,0.81074,0.76943,0.85791,0.71543,0.68593,0.7698,0.93948,0.000919704,0.000919704,0.000919704
20,133.883,0.66194,0.79787,0.92204,0.812,0.80255,0.86942,0.73743,0.64688,0.73037,0.91207,0.00089141,0.00089141,0.00089141
21,140.362,0.65594,0.7775,0.91322,0.7858,0.82604,0.87207,0.74427,0.62903,0.70394,0.90803,0.000863116,0.000863116,0.000863116
22,147.153,0.62707,0.79056,0.9199,0.78063,0.82513,0.8767,0.75388,0.61489,0.7032,0.89547,0.000834822,0.000834822,0.000834822
23,153.798,0.61491,0.74156,0.9051,0.79472,0.82076,0.86656,0.742,0.62532,0.69119,0.90402,0.000806528,0.000806528,0.000806528
24,160.336,0.63349,0.7371,0.90908,0.77745,0.78798,0.86636,0.74213,0.62323,0.67982,0.90406,0.000778233,0.000778233,0.000778233
25,166.985,0.63356,0.71466,0.9092,0.76653,0.83273,0.85363,0.72773,0.62595,0.7127,0.90629,0.000749939,0.000749939,0.000749939
26,173.718,0.61651,0.70482,0.90264,0.81548,0.7963,0.86916,0.75195,0.60836,0.72035,0.89746,0.000721645,0.000721645,0.000721645
27,180.284,0.61857,0.70729,0.90564,0.78313,0.80994,0.85943,0.73147,0.61981,0.69318,0.90814,0.000693351,0.000693351,0.000693351
28,186.851,0.59382,0.69408,0.90366,0.80916,0.80457,0.8718,0.74934,0.61608,0.66939,0.9016,0.000665057,0.000665057,0.000665057
29,193.338,0.60381,0.68144,0.90255,0.82613,0.79939,0.86329,0.73545,0.63358,0.67676,0.90769,0.000636762,0.000636762,0.000636762
30,199.909,0.60375,0.71448,0.89951,0.81071,0.80181,0.86933,0.74042,0.62224,0.68175,0.91064,0.000608468,0.000608468,0.000608468
31,206.59,0.59893,0.67034,0.89662,0.82856,0.81517,0.88523,0.75907,0.62095,0.65348,0.90508,0.000580174,0.000580174,0.000580174
32,213.235,0.59522,0.66295,0.89858,0.82469,0.80192,0.89008,0.76785,0.60163,0.62602,0.89881,0.00055188,0.00055188,0.00055188
33,219.798,0.60588,0.65648,0.8952,0.80904,0.82437,0.88657,0.76378,0.61237,0.63826,0.89723,0.000523586,0.000523586,0.000523586
34,226.467,0.5861,0.62094,0.88825,0.81649,0.81308,0.8848,0.76119,0.60652,0.63223,0.8973,0.000495291,0.000495291,0.000495291
