epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7604,0.93205,2.12002,1.16283,0.22624,0.54949,0.26371,0.21673,0.72616,2.86474,1.01929,0.000469529,0.000469529,0.000469529
2,29.9995,0.8022,1.32303,1.03051,0.47292,0.64897,0.47352,0.37804,0.72847,2.84043,1.01828,0.000927134,0.000927134,0.000927134
3,44.3076,0.82809,1.62416,1.05573,0.34865,0.70704,0.40214,0.29554,0.82783,2.62077,1.06703,0.00136588,0.00136588,0.00136588
4,58.7499,0.83036,1.33523,1.02753,0.3463,0.73495,0.35662,0.28901,0.7234,2.14614,1.00563,0.00134412,0.00134412,0.00134412
5,73.0662,0.82714,1.22234,1.03299,0.42144,0.6991,0.45567,0.36549,0.7228,2.19994,1.03419,0.00131582,0.00131582,0.00131582
6,87.0208,0.75463,1.05249,1.00498,0.4286,0.74758,0.43234,0.35148,0.68435,1.78755,1.00518,0.00128753,0.00128753,0.00128753
7,101.011,0.72053,0.96567,0.98727,0.44095,0.75872,0.44713,0.3664,0.67599,1.74752,0.98767,0.00125923,0.00125923,0.00125923
8,114.851,0.71735,1.00844,0.99405,0.45455,0.69175,0.45995,0.38891,0.64344,1.61462,0.97262,0.00123094,0.00123094,0.00123094
9,128.755,0.69858,0.92398,0.97601,0.44009,0.75856,0.46714,0.38923,0.65525,1.54769,0.98053,0.00120265,0.00120265,0.00120265
10,143.081,0.68344,0.96166,0.96504,0.40625,0.78036,0.44059,0.36614,0.65765,1.75903,0.98162,0.00117435,0.00117435,0.00117435
11,157.078,0.66473,0.94343,0.97097,0.45977,0.77708,0.47959,0.40592,0.64592,1.67909,0.9862,0.00114606,0.00114606,0.00114606
12,171.26,0.64733,0.92329,0.94743,0.43477,0.7849,0.46656,0.39774,0.62601,1.59843,0.96801,0.00111776,0.00111776,0.00111776
13,185.24,0.65315,0.90019,0.95645,0.424,0.77915,0.46072,0.38799,0.6474,1.57435,0.9787,0.00108947,0.00108947,0.00108947
14,199.364,0.67152,0.88596,0.96752,0.44408,0.73722,0.46953,0.40022,0.60688,1.62567,0.95784,0.00106118,0.00106118,0.00106118
15,213.143,0.63875,0.81998,0.94944,0.45274,0.79356,0.45477,0.38208,0.62753,1.72781,0.97245,0.00103288,0.00103288,0.00103288
16,227.432,0.6034,0.82507,0.94305,0.45343,0.72642,0.46734,0.4046,0.61067,1.73298,0.95674,0.00100459,0.00100459,0.00100459
17,241.712,0.63169,0.79783,0.93837,0.44787,0.72068,0.45044,0.3854,0.61366,1.67238,0.96213,0.000976293,0.000976293,0.000976293
18,255.651,0.61557,0.91988,0.92803,0.40095,0.81535,0.43407,0.37061,0.60501,1.74294,0.95974,0.000947999,0.000947999,0.000947999
19,269.491,0.57983,0.74822,0.92071,0.41025,0.81129,0.43459,0.37831,0.57425,1.85412,0.94344,0.000919704,0.000919704,0.000919704
20,283.484,0.61381,0.86226,0.91958,0.44613,0.76996,0.44752,0.37903,0.59871,1.47107,0.96556,0.00089141,0.00089141,0.00089141
21,297.281,0.58195,1.80382,0.91571,0.44249,0.73726,0.43963,0.38007,0.58253,1.66026,0.95745,0.000863116,0.000863116,0.000863116
22,311.01,0.61038,0.73095,0.93735,0.42912,0.77328,0.44608,0.38186,0.59631,1.68984,0.95208,0.000834822,0.000834822,0.000834822
23,325.107,0.56832,0.72498,0.91894,0.41851,0.76246,0.43181,0.37369,0.58925,1.66549,0.95411,0.000806528,0.000806528,0.000806528
24,339.484,0.57719,0.68741,0.90923,0.43088,0.79145,0.44844,0.38784,0.58538,1.73284,0.95582,0.000778233,0.000778233,0.000778233
25,353.847,0.59542,0.76571,0.92171,0.43633,0.78875,0.43578,0.37682,0.5913,1.52787,0.95685,0.000749939,0.000749939,0.000749939
26,367.95,0.56137,0.728,0.92114,0.42027,0.73014,0.42889,0.37772,0.57993,1.71684,0.94794,0.000721645,0.000721645,0.000721645
27,382.025,0.58364,0.72909,0.92128,0.38724,0.76807,0.40674,0.34804,0.59641,1.7574,0.94755,0.000693351,0.000693351,0.000693351
28,395.879,0.57625,0.73348,0.9171,0.43844,0.7913,0.43166,0.37116,0.57891,1.8277,0.94086,0.000665057,0.000665057,0.000665057
29,409.956,0.56622,0.66372,0.90971,0.44061,0.78421,0.44646,0.38718,0.57562,1.66021,0.94055,0.000636762,0.000636762,0.000636762
30,424.122,0.5379,0.66629,0.90453,0.41652,0.72604,0.40625,0.35536,0.5591,1.79315,0.9363,0.000608468,0.000608468,0.000608468
31,438.239,0.5602,0.64542,0.91483,0.40655,0.78652,0.40705,0.35148,0.57583,1.82286,0.94315,0.000580174,0.000580174,0.000580174
32,452.158,0.5469,0.63503,0.90021,0.40707,0.72475,0.38821,0.33559,0.57026,1.81353,0.93866,0.00055188,0.00055188,0.00055188
33,466.563,0.54171,0.66168,0.90291,0.4009,0.73018,0.38304,0.32992,0.56604,1.96172,0.93491,0.000523586,0.000523586,0.000523586
34,480.817,0.51897,0.62717,0.89372,0.40355,0.7212,0.38124,0.32987,0.56682,2.00659,0.93915,0.000495291,0.000495291,0.000495291
35,495.385,0.52453,0.64497,0.88865,0.39054,0.76159,0.38431,0.32836,0.57148,1.9246,0.94301,0.000466997,0.000466997,0.000466997
